Accession	Organism	Kingdom	Sequence length	N-term transmembrane
Q6YN16	Homo sapiens	Metazoa	418	False
Q9UHK6	Homo sapiens	Metazoa	382	False
A3KMH1	Homo sapiens	Metazoa	1905	False
O75874	Homo sapiens	Metazoa	414	False
Q9NTK1	Homo sapiens	Metazoa	212	False
Q9BTZ2	Homo sapiens	Metazoa	278	False
O00628	Homo sapiens	Metazoa	323	False
P50542	Homo sapiens	Metazoa	639	False
Q99489	Homo sapiens	Metazoa	341	False
Q9HCM9	Homo sapiens	Metazoa	518	False
Q13227	Homo sapiens	Metazoa	327	False
P49419	Homo sapiens	Metazoa	539	False
Q9Y3I1	Homo sapiens	Metazoa	522	False
P22736	Homo sapiens	Metazoa	598	False
Q9H773	Homo sapiens	Metazoa	170	False
P14920	Homo sapiens	Metazoa	347	False
O95822	Homo sapiens	Metazoa	493	False
P30044	Homo sapiens	Metazoa	214	False
P07954	Homo sapiens	Metazoa	510	False
P21549	Homo sapiens	Metazoa	392	False
Q9BY49	Homo sapiens	Metazoa	303	False
Q9Y2Q3	Homo sapiens	Metazoa	226	False
Q9UJ83	Homo sapiens	Metazoa	578	False
C9JRZ8	Homo sapiens	Metazoa	316	False
Q15067	Homo sapiens	Metazoa	660	False
Q8N9L9	Homo sapiens	Metazoa	421	False
Q9BXS1	Homo sapiens	Metazoa	227	False
Q6P587	Homo sapiens	Metazoa	221	False
P09110	Homo sapiens	Metazoa	424	False
Q99424	Homo sapiens	Metazoa	681	False
Q9Y4F3	Homo sapiens	Metazoa	1742	False
P36639	Homo sapiens	Metazoa	156	False
O94925	Homo sapiens	Metazoa	669	False
Q02790	Homo sapiens	Metazoa	459	False
P52306	Homo sapiens	Metazoa	607	False
Q8N3J2	Homo sapiens	Metazoa	472	False
O14832	Homo sapiens	Metazoa	338	False
Q2T9J0	Homo sapiens	Metazoa	566	False
Q9NYQ3	Homo sapiens	Metazoa	351	False
Q9P0Z9	Homo sapiens	Metazoa	390	False
Q16595	Homo sapiens	Metazoa	210	False
Q9NR28	Homo sapiens	Metazoa	239	False
Q9UMS0	Homo sapiens	Metazoa	254	False
O43933	Homo sapiens	Metazoa	1283	False
P34913	Homo sapiens	Metazoa	555	False
P00558	Homo sapiens	Metazoa	417	False
Q8IZ52	Homo sapiens	Metazoa	775	True
P59103	Homo sapiens	Metazoa	153	False
P61981	Homo sapiens	Metazoa	247	False
O15297	Homo sapiens	Metazoa	605	False
O60678	Homo sapiens	Metazoa	531	False
O60921	Homo sapiens	Metazoa	280	False
P09884	Homo sapiens	Metazoa	1462	False
P11441	Homo sapiens	Metazoa	157	False
P14678	Homo sapiens	Metazoa	240	False
P62304	Homo sapiens	Metazoa	92	False
P62314	Homo sapiens	Metazoa	119	False
Q504T8	Homo sapiens	Metazoa	468	False
Q8IXP5	Homo sapiens	Metazoa	288	False
Q8N4J0	Homo sapiens	Metazoa	409	False
Q8WUJ0	Homo sapiens	Metazoa	223	False
Q8WUQ7	Homo sapiens	Metazoa	758	False
Q9BVJ7	Homo sapiens	Metazoa	150	False
Q9C0C6	Homo sapiens	Metazoa	399	False
Q9NVP2	Homo sapiens	Metazoa	202	False
Q9Y3C4	Homo sapiens	Metazoa	175	False
Q86WA8	Homo sapiens	Metazoa	852	False
P04040	Homo sapiens	Metazoa	527	False
Q9UJM8	Homo sapiens	Metazoa	370	False
A6ND36	Homo sapiens	Metazoa	823	False
O14802	Homo sapiens	Metazoa	1390	False
O75920	Homo sapiens	Metazoa	110	False
P20941	Homo sapiens	Metazoa	246	False
Q6VN20	Homo sapiens	Metazoa	620	False
Q8TC84	Homo sapiens	Metazoa	345	False
Q99543	Homo sapiens	Metazoa	621	False
Q9GZX7	Homo sapiens	Metazoa	198	False
Q9H0Z9	Homo sapiens	Metazoa	239	False
Q9NTX7	Homo sapiens	Metazoa	359	False
Q9NVM4	Homo sapiens	Metazoa	692	False
Q9UNI6	Homo sapiens	Metazoa	340	False
Q15311	Homo sapiens	Metazoa	655	False
O14641	Homo sapiens	Metazoa	736	False
P55210	Homo sapiens	Metazoa	303	False
P62318	Homo sapiens	Metazoa	126	False
Q13642	Homo sapiens	Metazoa	323	False
Q5VWP3	Homo sapiens	Metazoa	993	False
Q96A61	Homo sapiens	Metazoa	297	False
Q9BQ70	Homo sapiens	Metazoa	676	False
Q9H777	Homo sapiens	Metazoa	363	False
Q9NR19	Homo sapiens	Metazoa	701	False
Q9NVD3	Homo sapiens	Metazoa	440	False
O14734	Homo sapiens	Metazoa	319	False
O75521	Homo sapiens	Metazoa	394	False
Q8IV20	Homo sapiens	Metazoa	430	False
O15516	Homo sapiens	Metazoa	846	False
P62306	Homo sapiens	Metazoa	86	False
Q86TI2	Homo sapiens	Metazoa	863	False
Q8IYM2	Homo sapiens	Metazoa	578	False
Q9NXV2	Homo sapiens	Metazoa	234	False
Q9UK32	Homo sapiens	Metazoa	745	False
O00429	Homo sapiens	Metazoa	736	False
Q9GZY8	Homo sapiens	Metazoa	342	False
A4D2B0	Homo sapiens	Metazoa	266	False
O43324	Homo sapiens	Metazoa	174	False
O43665	Homo sapiens	Metazoa	181	False
O75912	Homo sapiens	Metazoa	1057	False
P12268	Homo sapiens	Metazoa	514	False
P62308	Homo sapiens	Metazoa	76	False
P62316	Homo sapiens	Metazoa	118	False
Q13228	Homo sapiens	Metazoa	472	False
Q16236	Homo sapiens	Metazoa	605	False
Q4J6C6	Homo sapiens	Metazoa	727	False
Q53FT3	Homo sapiens	Metazoa	197	False
Q8IXQ6	Homo sapiens	Metazoa	854	False
Q8WWH5	Homo sapiens	Metazoa	349	False
Q9H790	Homo sapiens	Metazoa	373	False
Q9NW08	Homo sapiens	Metazoa	1133	False
Q969V5	Homo sapiens	Metazoa	352	True
Q7Z434	Homo sapiens	Metazoa	540	False
O14862	Homo sapiens	Metazoa	343	False
Q9Y2G2	Homo sapiens	Metazoa	537	False
Q15046	Homo sapiens	Metazoa	597	False
P13051	Homo sapiens	Metazoa	313	False
P51530	Homo sapiens	Metazoa	1060	False
Q96BP2	Homo sapiens	Metazoa	118	False
Q9H611	Homo sapiens	Metazoa	641	False
Q13315	Homo sapiens	Metazoa	3056	False
P33316	Homo sapiens	Metazoa	252	False
Q13686	Homo sapiens	Metazoa	389	False
Q9NS18	Homo sapiens	Metazoa	164	False
P78549	Homo sapiens	Metazoa	304	False
Q9NXA8	Homo sapiens	Metazoa	310	False
P49916	Homo sapiens	Metazoa	1009	False
Q8TAE8	Homo sapiens	Metazoa	222	False
Q9GZT3	Homo sapiens	Metazoa	109	False
Q02218	Homo sapiens	Metazoa	1023	False
Q7L7V1	Homo sapiens	Metazoa	743	False
Q9HD34	Homo sapiens	Metazoa	91	False
Q9Y606	Homo sapiens	Metazoa	427	False
Q8IW19	Homo sapiens	Metazoa	511	False
Q6NZI2	Homo sapiens	Metazoa	390	False
Q9BQG2	Homo sapiens	Metazoa	462	False
Q49B96	Homo sapiens	Metazoa	90	False
Q9NZH6	Homo sapiens	Metazoa	218	False
O15379	Homo sapiens	Metazoa	428	False
O60260	Homo sapiens	Metazoa	465	False
Q12904	Homo sapiens	Metazoa	312	False
Q9C000	Homo sapiens	Metazoa	1473	False
P54105	Homo sapiens	Metazoa	237	False
P61970	Homo sapiens	Metazoa	127	False
P62266	Homo sapiens	Metazoa	143	False
P01100	Homo sapiens	Metazoa	380	False
Q07098	Arabidopsis thaliana	Viridiplantae	306	False
P56192	Homo sapiens	Metazoa	900	False
P62857	Homo sapiens	Metazoa	69	False
O15160	Homo sapiens	Metazoa	346	False
Q8S944	Arabidopsis thaliana	Viridiplantae	808	False
Q9FWR4	Arabidopsis thaliana	Viridiplantae	213	False
Q6GPH4	Homo sapiens	Metazoa	301	False
Q9BV79	Homo sapiens	Metazoa	373	False
Q9H7Z6	Homo sapiens	Metazoa	458	False
Q15831	Homo sapiens	Metazoa	433	False
Q3MIT2	Homo sapiens	Metazoa	529	False
Q9P286	Homo sapiens	Metazoa	719	False
P09211	Homo sapiens	Metazoa	210	False
P53370	Homo sapiens	Metazoa	316	False
Q14653	Homo sapiens	Metazoa	427	False
Q7Z6Z7	Homo sapiens	Metazoa	4374	False
Q96Q11	Homo sapiens	Metazoa	434	False
Q99717	Homo sapiens	Metazoa	465	False
Q9H1K1	Homo sapiens	Metazoa	167	False
Q9UHV9	Homo sapiens	Metazoa	154	False
Q9UJ68	Homo sapiens	Metazoa	235	False
P52759	Rattus norvegicus	Metazoa	137	False
P70473	Rattus norvegicus	Metazoa	382	False
O95568	Homo sapiens	Metazoa	372	False
P78527	Homo sapiens	Metazoa	4128	False
Q6PI26	Homo sapiens	Metazoa	577	False
Q86US8	Homo sapiens	Metazoa	1419	False
Q92841	Homo sapiens	Metazoa	729	False
O15164	Homo sapiens	Metazoa	1050	False
O94763	Homo sapiens	Metazoa	535	False
P19793	Homo sapiens	Metazoa	462	False
P22314	Homo sapiens	Metazoa	1058	False
P49789	Homo sapiens	Metazoa	147	False
P53778	Homo sapiens	Metazoa	367	False
Q99417	Homo sapiens	Metazoa	103	False
Q99807	Homo sapiens	Metazoa	217	False
Q9NX63	Homo sapiens	Metazoa	227	False
Q9ULZ2	Homo sapiens	Metazoa	295	False
O60829	Homo sapiens	Metazoa	102	False
Q8N6R0	Homo sapiens	Metazoa	699	False
Q9BQ95	Homo sapiens	Metazoa	431	False
Q9NQ88	Homo sapiens	Metazoa	270	False
Q9NQP4	Homo sapiens	Metazoa	134	False
Q9Y4E8	Homo sapiens	Metazoa	981	False
P78537	Homo sapiens	Metazoa	153	False
P62826	Homo sapiens	Metazoa	216	False
Q8NBU5	Homo sapiens	Metazoa	361	True
Q6PIL6	Homo sapiens	Metazoa	250	False
O75897	Homo sapiens	Metazoa	302	False
P17812	Homo sapiens	Metazoa	591	False
P41252	Homo sapiens	Metazoa	1262	False
Q01064	Homo sapiens	Metazoa	536	False
Q0IIM8	Homo sapiens	Metazoa	1120	False
Q0VDF9	Homo sapiens	Metazoa	509	False
Q5VWZ2	Homo sapiens	Metazoa	237	False
Q7L5D6	Homo sapiens	Metazoa	327	False
Q8IVU3	Homo sapiens	Metazoa	1022	False
Q8IWV7	Homo sapiens	Metazoa	1749	False
Q8WTX7	Homo sapiens	Metazoa	329	False
Q93015	Homo sapiens	Metazoa	286	False
Q969F9	Homo sapiens	Metazoa	1004	False
Q96A44	Homo sapiens	Metazoa	273	False
Q96G75	Homo sapiens	Metazoa	393	False
Q99619	Homo sapiens	Metazoa	263	False
Q9NRN7	Homo sapiens	Metazoa	309	False
Q9NUV9	Homo sapiens	Metazoa	329	False
Q9ULE6	Homo sapiens	Metazoa	856	False
Q9Y4U1	Homo sapiens	Metazoa	282	False
Q9NWT8	Homo sapiens	Metazoa	199	False
